id,name
1,starters
2,soups
3,'Big' salads
4,With Bread
5,Entrees
6,BUTCHER 'BLOCK 37'
7,Sides
8,BUILD YOUR OWN SUNDAE
9,AN AMERICAN SWEET TOOTH
10,PIE
11,A FRENCH SWEET TOOTH
12,DONUTS
13,A FANTASY OF EGGS
14,FOR YOUR SWEET TOOTH
15,ALMOST LUNCH
16,BRUNCH SALADS
17,Sweet sides
18,savory sides
19,Salads
20,The Bar is Raw
21,MAINS
22,BURGERS
